기업명,링크
KT,https://www.catch.co.kr/Comp/CompSummary/810193
네이버,https://www.catch.co.kr/Comp/CompSummary/112745
넥슨코리아,https://www.catch.co.kr/Comp/CompSummary/381798
카카오엔터테인먼트,https://www.catch.co.kr/Comp/CompSummary/G69732
네이버클라우드,https://www.catch.co.kr/Comp/CompSummary/C83675
시높시스코리아,https://www.catch.co.kr/Comp/CompSummary/282278
네이버웹툰,https://www.catch.co.kr/Comp/CompSummary/LG8788
스마일게이트알피지,https://www.catch.co.kr/Comp/CompSummary/I20032
스마일게이트엔터테인먼트,https://www.catch.co.kr/Comp/CompSummary/280783
NS쇼핑,https://www.catch.co.kr/Comp/CompSummary/174048
카카오게임즈,https://www.catch.co.kr/Comp/CompSummary/J88973
라인플러스,https://www.catch.co.kr/Comp/CompSummary/J00182
카카오CIC,https://www.catch.co.kr/Comp/CompSummary/JJ4508
오아시스,https://www.catch.co.kr/Comp/CompSummary/E69642
카카오모빌리티,https://www.catch.co.kr/Comp/CompSummary/IQ0276
숲,https://www.catch.co.kr/Comp/CompSummary/619914
NHN,https://www.catch.co.kr/Comp/CompSummary/J84229
위버스컴퍼니,https://www.catch.co.kr/Comp/CompSummary/JE2970
위메이드,https://www.catch.co.kr/Comp/CompSummary/164426
다우기술,https://www.catch.co.kr/Comp/CompSummary/980650
가온그룹,https://www.catch.co.kr/Comp/CompSummary/176022
SK플래닛,https://www.catch.co.kr/Comp/CompSummary/H77772
네오위즈,https://www.catch.co.kr/Comp/CompSummary/490186
안랩,https://www.catch.co.kr/Comp/CompSummary/052194
섹타나인,https://www.catch.co.kr/Comp/CompSummary/681007
케이던스디자인시스템즈아일랜드리미티드,https://www.catch.co.kr/Comp/CompSummary/JR9590
웹젠,https://www.catch.co.kr/Comp/CompSummary/153857
다날,https://www.catch.co.kr/Comp/CompSummary/124801
카카오엔터프라이즈,https://www.catch.co.kr/Comp/CompSummary/JT0375
한국지멘스일렉트로닉디자인오토메이션,https://www.catch.co.kr/Comp/CompSummary/021376
팅크웨어,https://www.catch.co.kr/Comp/CompSummary/558125
카카오스타일,https://www.catch.co.kr/Comp/CompSummary/E91129
네이버웹툰컴퍼니,https://www.catch.co.kr/Comp/CompSummary/IP9413
한글과컴퓨터,https://www.catch.co.kr/Comp/CompSummary/119628
원스토어,https://www.catch.co.kr/Comp/CompSummary/HN8999
카카오VX,https://www.catch.co.kr/Comp/CompSummary/J35473
에스트래픽,https://www.catch.co.kr/Comp/CompSummary/I89813
조이시티,https://www.catch.co.kr/Comp/CompSummary/034306
NHN클라우드,https://www.catch.co.kr/Comp/CompSummary/OZ4529
티맥스소프트,https://www.catch.co.kr/Comp/CompSummary/126628
