기업명,키워드,로고,카테고리,신입연봉,평균연봉,주소,사원수,홈페이지,기업형태,매출액_별도,매출액_연결,사업현황
KT,"#재무평가_상위7%, #주요계열사, #매출1조이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/810193.jpg,네트워크·통신,"4,000만원","11,000만원",경기 성남시 분당구 불정로 90 지도,"16,828명",http://www.kt.com/,대기업,"18조 5,797억","26조 4,312억","IT와 AI를 더한 ‘AICT’ 회사로 거듭난다

KT는 기자간담회를 통해 'AICT(IT+AI) 컴퍼니'로의 전환 포부를 밝히며 AI 전환에 집중할 것이라고 전했다. 초거대 AI '믿:음'과 오픈 AI의 GPT, 메타의 라마를 활용하는 내부 업무 혁신 플랫폼 'Gen.AIDU'를 개발하여 회사 전반에 도입할 계획이다. 이를 통해 방대한 데이터를 쉽게 검색할 수 있도록 돕는 생성형 AI 지식 응대 서비스 '제니'도 공개했다.

KT는 '믿:음'을 활용하여 지니 TV의 콘텐츠 마케팅 문구를 자동 생성하고 콘텐츠 흥행 등급을 예측하여 오리지널 콘텐츠 제작에도 사용할 예정이다. 또한, 이미지와 영상을 분석하고 화질을 개선하는 플랫폼을 개발하여 미디어 사업에 적용할 계획이다.

한편, KT는 AI의 올바른 활용을 위해 AI 거버넌스 체계를 확립하고, AI의 편향성을 바로잡으며 데이터 프라이버시를 보장하고 위험을 감시하는 시스템을 구축할 예정이다. 더불어, 고객의 환경에 맞춘 AI를 통해 B2B, B2G, B2C 시장을 공략하고 일상과 사회에 AI를 통합하는 경험을 제공할 계획이다."
네이버,"#캐치추천, #재무평가_상위1%, #주요계열사, #매출1조이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/112745.jpg,포털·플랫폼,"4,544만원","12,900만원",경기 성남시 분당구 정자일로 95 지도,"4,452명",http://www.navercorp.com/,대기업,"6조 1,809억","10조 7,377억","AI 전환 가속화하는 네이버, 글로벌 확장 본격화

네이버는 2025년 사업 전략으로 ‘온 서비스 AI’를 중심에 두고, 전사적 AI 전환을 본격 추진한다. ‘온 서비스 AI’는 검색, 지도, 쇼핑 등 주요 서비스에 인공지능 기술을 깊이 적용해 사용자 경험을 혁신하려는 전략이다.

또한, 2025년 상반기까지 자체 AI 반도체 개발을 완료할 계획이다. 삼성전자와 협력해 FPGA 기반의 추론형 AI 반도체를 개발 중이며, 이는 엔비디아의 HBM 대비 양산이 용이하고 가격 경쟁력이 높을 것으로 기대된다.

글로벌 시장 확대도 주요 전략으로 추진된다. 네이버는 일본에서 웹툰, 웍스, 로봇 서비스를 중심으로 사업을 강화하고, 미국, 유럽, 사우디아라비아 등으로 진출 범위를 넓힐 계획이다. 이는 AI 기술을 기반으로 플랫폼 경쟁력을 높이고, 지속 가능한 성장을 도모하려는 중장기 전략의 일환이다."
넥슨코리아,"#캐치추천, #재무평가_상위10%, #주요계열사, #매출1조이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/381798.jpg,게임,"6,151만원",,경기 성남시 분당구 판교로256번길 7 지도,"3,699명",http://company.nexon.com/,대기업,"2조 9,600억",,"완성도 부족한 게임 개발 중단, 선택과 집중 시기

넥슨은 올해 개발 효율화에 집중하기 위해 완성도가 부족하고 성과가 부진할 것으로 예상되는 게임을 과감히 정리하고 기대작에 주력하기로 결정했다. 이에, 에이스톰이 개발하고 넥슨코리아가 서비스하는 MORPG '빌딩 앤 파이터'는 오는 6월에 게임 서비스를 종료할 예정이라고 공지했다. 다양한 업데이트를 시도했지만 흥행에 실패해 서비스 종료를 결정하게 됐다.

넥슨은 앞서 지난 1월에는 온라인 대전 액션 게임 '워헤이븐'의 서비스를, 2월에는 팀 대전 액션 게임 '웨이크 러너'의 개발을 중단했다. 특히 넥슨은 약 2년간 개발한 ‘웨이크 러너’의 초기 시장 반응이 기대에 미치지 못하자 과감하게 사업을 접었다.

이처럼 넥슨은 부진할 것으로 전망되는 게임 개발을 중단하고, 대작으로 발전할 게임에 집중하는 '선택과 집중' 전략을 지속할 계획이다. 이러한 결정은 향후 성공적인 게임 출시를 위한 기반을 마련하는 데 기여할 것으로 기대된다."
카카오엔터테인먼트,"#캐치추천, #주요계열사, #매출1조이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/G69732.jpg,솔루션·SI·CRM·ERP,"4,036만원","5,578만원","경기 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 8, 9, 10층 지도","1,126명",http://www.kakaoent.com/,대기업,"1조 3,563억","1조 8,735억","2010년 7월에 설립된 카카오엔터테인먼트는 음악, 스토리, 미디어 분야에서 활발히 사업을 진행하고 있다. 음악 부문에서는 국내 음원 유통 점유율을 바탕으로 글로벌 유통망을 확장하고 있으며, 멜론 서비스는 국내 1위 뮤직 플랫폼으로 자리잡고 있다.

스토리 분야에서는 카카오페이지와 카카오웹툰을 통해 웹툰과 웹소설 등 다양한 콘텐츠를 제공하며 한국 콘텐츠 산업을 선도하고 있다. 미디어 부문에서는 여러 플랫폼에서 오리지널 영상 콘텐츠를 제작하고, 예능 및 뉴미디어 콘텐츠로 새로운 소비 문화를 창출하고 있다. 최근에는 2024년 4월에 AI 기반의 IP 자동 편성 기술인 '헬릭스 큐레이션'을 론칭하였고, 6월에는 EQ AI Master 및 음량 최적화 기술을 도입하여 기술 혁신을 지속하고 있다.

7월에는 엔터테인먼트 업계 최초로 구글 TCRP 공식 파트너사로 선정되며 경쟁력을 더욱 강화하였다."
네이버클라우드,"#캐치추천, #주요계열사, #매출1조이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/C83675.jpg,포털·플랫폼,"4,574만원","6,259만원","경기 성남시 분당구 불정로 6 (정자동,네이버그린팩토리) 지도","1,912명",http://www.navercloudcorp.com/,대기업,"1조 1,971억",,"2009년에 설립된 네이버클라우드는 퍼블릭 및 하이브리드 등 토탈 클라우드 서비스 ‘네이버 클라우드 플랫폼’을 제공하는 IT 전문 기업이다. 네이버의 기술과 경험을 융합하여 공공용, 금융용, 의류용 등의 산업 특화 클라우드 기반 서비스를 제공한다. 네이버, 라인, 스노우 등의 계열사를 중심으로 IT 인프라 컨설팅도 제공하고 있다. 국내 포털로는 최초로 2013년 6월 친환경 데이터센터 “각”을 건립, 국제적인 친환경건물인증제도인 LEED에서 데이터센터로는 세계 최초로 최고 등급인 ‘Platinum’ 인증을 획득했다.

네이버클라우드는 2023년 8월에 초대규모 AI ‘하이퍼클로바X’ 공개하였다. 이후 대화형 AI 서비스 ‘클로바 X(CLOVA X)’, 생성형 AI 검색 서비스 ‘큐:(Cue:)’를 연달아 선보였다. 이어 2023년 10월 기업용 서비스까지 출시하며 ‘하이퍼클로바X’를 B2B까지 확장하였다. ‘하이퍼클로바X’는 우수한 한국어와 영어 능력을 갖춘 거대 언어 모델이자 프로그래밍 언어도 학습한 모델이다. 고객사는 ‘하이퍼클로바X’를 활용해 기업 내부 업무 효율을 향상시킬 수 있는 생산성 도구부터 일반 소비자를 위한 대중 서비스까지 다양한 형태의 AI를 만들 수 있다. 또한, 교육 콘텐츠 자동 생성 AI, 커리어 상담 챗봇, 개인 맞춤형 문서 작성 도구 등 다양한 AI 서비스를 선보이고 있다."
시높시스코리아,"#캐치추천, #재무평가_상위4%, #매출1조이상, #TOP중견, #외국계",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/282278.jpg,,"6,267만원",,"경기 성남시 분당구 판교역로 235, N동 5층 501호 지도",642명,https://www.synopsys.com/,중견기업,1조 768억,,"시높시스코리아는 1992년에 설립된 시높시스의 한국 법인이다. 기존에 아시아태평양 지역 소속으로 출발했으나 국내 반도체 업계가 선전하여 EDA 툴 매출이 큰 폭으로 확대되어 2015년, 독립 지역 사무소로 승격했다. 모기업인 시높시스는 현재 반도체 전자설계자동화(EDA:Electronic Design Automation) 툴 분야 세계 1위 자리를 지키고 있으며, 전세계 매출 약 2조 이상을 기록하고 있다.

사업 영역은 칩 설계와 검증 툴을 맡는 코어EDA. 시스템온칩(SoC) 설계시 필요한 설계자산(IP) 등을 제공하는 IP·시스템·SI. 생산공정 시뮬레이션 툴 등을 다루는 매뉴팩처링솔루션으로 구분된다. 시높시스 EDA 툴은 10나노대 핀펫(FinFET) 칩 설계 분야에서 독보적 위치를 점한다. 현재 시장에 출시됐거나, 출시될 90% 핀펫 반도체는 시높시스 툴을 활용해 만든 것이다. 다가올 10나노 핀펫 칩은 이 비중이 95%까지 늘어날 전망이다. 시높시스는 사물인터넷(IoT) 시대에 대응하기 위해 최근 보안 솔루션 업체 커버리티(Coverity), 코데노미콘(Codenomicon)을 차례로 인수하는 등 보안 소프트웨어 분야로 사업 영역을 확장 중이다."
네이버웹툰,"#캐치추천, #주요계열사, #매출5천억이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/LG8788.jpg,포털·플랫폼,"4,761만원","6,025만원","경기 성남시 분당구 불정로 6, 6층, 7층, 8층, 9층, 10층 (정자동,그린팩토리) 지도",725명,https://webtoonscorp.com/,대기업,"7,542억",,"2020년 설립된 네이버웹툰은 국내 최대의 콘텐츠 플랫폼으로, 웹툰, 영상, 게임 등 다양한 디지털 콘텐츠를 제공하며 글로벌 시장에서도 큰 인기를 끌고 있다. 특히 북미, 동남아, 유럽, 중남미 등에서 글로벌 스토리테크 플랫폼으로 자리 잡았으며, 일본에서는 라인망가를 통해 다양한 독자층을 확보하고 있다.

네이버웹소설은 다양한 장르의 웹소설을 업데이트하며 드라마와 영화로의 확장도 이루어지고 있다. 또한, 네이버시리즈는 맞춤형 추천 콘텐츠를 제공하여 사용자 경험을 강화하고 있다. 네이버웹툰은 웹툰과 웹소설을 바탕으로 광고, 영화, 드라마, 게임, 애니메이션, 캐릭터 상품, 디지털 콘텐츠, 출판 등 다양한 사업 영역에서 성과를 내고 있으며, 창작자와의 상생을 통해 지속적인 성장을 이루고 있다.

Studio N과 Studio Lico는 웹툰과 웹소설 기반의 영상 제작 및 애니메이션 창작을 통해 콘텐츠의 다양성을 확대하고 있다. 또한, 네이버웹툰은 삼성전자의 협업으로 갤럭시 Z 플립6 체험 팝업스토어를 운영하며, 웹툰 <냐한남자> 등 IP를 활용한 다양한 체험 공간과 한정판 에디션을 선보였다."
스마일게이트알피지,#매출5천억이상,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/I20032.jpg,,,,"경기 성남시 분당구 판교로 344, 6층 지도",615명,https://careers.smilegate.com/,중견기업,"7,370억",,"2011년 12월에 설립된 스마일게이트알피지는 게임 소프트웨어 개발 전문 기업이다. 당사는 2018년에 PC MMORPG '로스트아크'를 성공적으로 론칭한 후, 2019년에는 러시아와 일본 시장에 진출했다. 뿐만 아니라, 2022년 2월에는 글로벌 게임 유통 플랫폼 ‘스팀’에서 최고 동시접속자 수 132만 명을 기록하였다. 이어서 2023년 7월에 중국 시장에 정식으로 서비스를 시작하여, 같은 해 8월에는 텐센트의 위게임 플랫폼에서 최근 1년 내에 출시된 게임 중에서 인기 순위 1위에 오르는 쾌거를 달성했다.

스마일게이트알피지는 주요 사업으로 PC 온라인게임 ‘로스트아크’를 전개하고 있다. '로스트아크'는 오픈 월드 탐험, 다양한 캐릭터 클래스 및 스킬 활용, 퀘스트 수행, 그리고 다른 플레이어들과의 협력 및 경쟁을 포함한 다채로운 게임 플레이를 제공한다. 더불어, 풍부한 그래픽과 방대한 세계관, 세밀한 스토리텔링으로 호평을 받으며, PvE와 PvP 콘텐츠를 모두 갖추고 있어 게이머들에게 다양한 경험을 선사한다. 로스트아크는 2023년 4월에 이디야커피와의 협업을 통해 팝업스토어를 운영했으며, 같은 해 11월에는 '지스타 2023'에서 로스트아크 IP를 활용한 '로스트아크 모바일'을 공개하였다."
스마일게이트엔터테인먼트,"#매출5천억이상, #TOP중견",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/280783.jpg,,"6,067만원",,"경기 성남시 분당구 판교역로 220, 5층 지도",987명,http://www.smilegate.com/,중견기업,"6,672억",,"2002년 6월 설립된 스마일게이트엔터테인먼트는 온라인 게임 개발 및 운영사업 등을 주요 사업으로 영위하고 있는 글로벌 게임회사다. 대표적인 게임으로는 크로스파이어, 에픽세븐, 로스트아크, 크로스파이어X, 테일즈런너 등을 보유하고 있다. 당사는 즐거운 게임, 다양한 엔터테인먼트 콘텐츠, 유저 친화적 서비스를 제공함으로써 향후 전 세계에서 사랑받는 글로벌 IP명가로 성장해 나갈 계획이다.

스마일게이트엔터테인먼트는 히트 IP(지식재산권) '크로스파이어'와 '로스트아크'로 북미유럽 시장을 집중 공략하고 있다. ‘크로스파이어’ IP를 기반으로 만든 콘솔 신작 ‘크로스파이어X’는 2022년 글로벌 엑스박스의 차세대 콘솔 기기 엑스박스 시리즈 X와 S, 엑스박스 원을 통해 글로벌 전 지역에 동시 출시했다. 더불어 ‘크로스파이어’와 함께 스마일게이트의 핵심 IP로 불리는 ‘로스트아크’도 북미와 유럽, 남미, 오세아니아에서 게임 플랫폼 ‘스팀’을 통해 정식 서비스를 시작했다.

2023년 8월, 스마일게이트는 기존 게임 이용자를 위한 플랫폼 '스토브'를 넘어 대학생 및 20~30대를 겨냥한 차세대 영상 커뮤니케이션 플랫폼 '피풀'을 확장하는 전략을 세웠다. '피풀'은 사용자를 게임 캐릭터 AR 아바타로 설정하여 화상 통화하는 플랫폼으로, 게임이나 취미, 여가 등의 사적 모임을 위한 캐주얼한 분위기의 커뮤니케이션에 초점을 맞췄다. 당사는 유명 대학 동아리 네 곳과의 제휴를 통해 서비스 고도화를 추진하며, 정식 버전에서는 게임 캐릭터뿐만 아니라 다른 분야의 인기 캐릭터와 유명인을 AR로 구현하여 참여를 유도할 전망이다."
NS쇼핑,"#재무평가_상위1%, #주요계열사, #매출5천억이상",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/174048.jpg,전자상거래,"4,071만원","5,762만원",경기 성남시 분당구 판교로228번길 15 지도,546명,http://pr.nsmall.com/,대기업,"6,100억",,"NS홈쇼핑은 2001년 9월 1일에 설립된 홈쇼핑 및 온라인 판매 전문 기업으로, 고객의 라이프스타일을 반영한 다양한 홈쇼핑 방송과 특화 프로그램을 제공하고 있다. 모바일 앱 NS mall과 실시간 라이브 방송을 통해 상품을 판매하며, 고객 서비스 역량을 인정받아 한국능률협회컨설팅(KMAC)이 주관한 '2024년 한국산업의 서비스품질지수(KSQI) 콜센터 부문'에서 4년 연속 '우수 콜센터'로 선정되었다.

2023년에는 직매입 확대를 통해 매출액 5,977억 원을 기록하며 전년 대비 8.5% 성장하였고, 영업이익도 413억 원으로 4% 증가하였다. 최근 NS홈쇼핑은 채널 다변화와 고객 서비스 확대를 모색하고 있다. 2024년 6월부터 유튜브 쇼핑 기능을 도입하여 온라인 쇼핑 환경을 확대하고 있으며, 2024년 5월에는 VVIP 고객을 대상으로 문화 체험 원데이 클래스를 진행했다. 또한, 2024년 1월부터 멤버십 회원 제도를 개편하여 맞춤형 혜택과 이벤트를 제공하고 있다.

2024년 4월에는 명품 주방용품 '마스터프로 바이 알레시' 프라이팬 세트를 국내 최초로 론칭하여 매입 역량 및 상품 경쟁력을 강화하고 있다."
